epoch,global_step,train_loss
0,386,2.1967434391478022
1,773,0.0013999265909529
2,1160,0.0008882435651346811
3,1547,0.0004630191849287551
4,1934,0.0006706199008180573
5,2321,0.0005146992617622437
6,2708,0.0002525269143447968
7,3095,0.00025624774683245837
8,3482,0.0001624239844946873
9,3869,0.00036013525775379447
10,4256,0.0006535999925401935
11,4643,0.00022487845726476796
12,5030,0.00025532763723402896
13,5417,0.000571627872659899
14,5804,5.8257564136190366e-05
15,6191,0.0003558503942383981
16,6578,0.0002517109568970572
17,6965,0.00016505583497861563
18,7352,2.192788187274046e-05
19,7739,4.604618270626125e-05
20,8126,0.0003537003348729201
21,8513,5.56875876138213e-05
22,8900,1.4090444314293849e-05
23,9287,0.00024003052600738383
24,9674,0.00015502919552177897
25,10061,0.00021053292972422654
26,10448,0.00034503662653198087
27,10835,0.00029072426137864227
28,11222,0.0001710939590369598
29,11609,7.263127974263704e-05
30,11996,7.361659857771252e-05
31,12383,4.833238962044879e-05
32,12770,0.00011774741922749619
33,13157,0.000265359107543893
34,13544,3.292539354110457e-05
35,13931,0.0004177933729308354
36,14318,2.8670883802129332e-05
37,14705,2.749719595497454e-05
38,15092,0.0005055797492304244
39,15479,2.7989652112642966e-06
40,15866,7.5813242958026445e-06
41,16253,1.02740250717928e-05
42,16640,0.000224979412394619
43,17027,3.416067925693335e-06
44,17414,1.5321616195589194e-05
45,17801,6.167315849059443e-06
46,18188,0.0003926107850713636
47,18575,6.328737668900214e-05
48,18962,7.709984095900679e-07
49,19349,0.00018352882158938696
50,19736,4.9218553839770795e-06
51,20123,0.0003770047832960455
52,20510,0.0002947362075644649
53,20897,3.324169858460815e-05
54,21284,0.00015063554948242054
55,21671,0.00028973488441561826
56,22058,0.0004407857052148308
57,22445,0.00028492834431455717
58,22832,2.8590136626177385e-06
59,23219,6.355169130929424e-06
60,23606,7.192307464010576e-05
61,23993,2.295645019681929e-06
62,24380,1.147530434355433e-06
63,24767,9.188406609439569e-05
64,25154,0.00010826634526378338
65,25541,2.766757786293245e-07
66,25928,1.071960202076913e-05
67,26315,0.00039088432478673416
68,26702,0.00012955157671645846
69,27089,1.4632984420512874e-05
70,27476,1.5917556814900048e-06
71,27863,0.0005180162051861807
72,28250,5.710531348859485e-05
73,28637,3.495054420385468e-05
74,29024,6.610123265586056e-05
75,29411,0.00023507100815222393
76,29798,7.996642126386295e-06
77,30185,4.729993026383388e-07
78,30572,2.8552738476587324e-07
79,30959,4.636518173863288e-06
80,31346,0.0001876195474239787
81,31733,0.00017336224526793607
82,32120,9.647076969533182e-06
83,32507,2.6712082576606703e-05
84,32894,2.753358351685146e-07
85,33281,0.000793421371901371
86,33668,8.474434346091253e-05
87,34055,3.091465934672267e-06
88,34442,1.8061728063029784e-06
89,34829,0.0007586065742015705
90,35216,3.889356273511512e-05
91,35603,2.824418069439454e-05
92,35990,1.9600662265535155e-05
93,36377,6.265027981431256e-06
94,36764,1.4272905177211466e-06
95,37151,8.13989338112521e-06
96,37538,3.001927797676219e-07
97,37925,2.0386594464796942e-07
98,38312,0.00039141184779759584
99,38699,9.282038281215758e-06
100,39086,6.096905513018366e-06
101,39473,5.364506427819383e-07
102,39860,1.2920613122930219e-06
103,40247,8.580659767788127e-07
104,40634,9.265083239220042e-07
105,41021,5.221431889465892e-06
106,41408,1.4720790770946362e-05
107,41795,2.689286647876142e-06
108,42182,1.3380301750612973e-06
109,42569,4.996150378233414e-06
110,42956,1.7101640948560076e-07
111,43343,4.653422273172242e-06
112,43730,1.7440733481022607e-08
113,44117,4.877466361698357e-07
114,44504,2.8421070515385212e-05
115,44891,6.669384760948484e-05
116,45278,0.000976850559329182
117,45665,2.7258751635079904e-07
118,46052,2.624782061405179e-05
119,46439,1.51956889250323e-06
120,46826,1.7374756629133826e-09
121,47213,1.828812677825308e-05
122,47600,3.313479066315666e-07
123,47987,2.289021640622821e-08
124,48374,2.0951854589579582e-07
125,48761,7.801178466350872e-09
126,49148,9.388750475872987e-05
127,49535,5.173182715365093e-06
128,49922,3.6337521019731645e-09
129,50309,1.2703533273766444e-06
130,50696,1.1360037006839476e-06
131,51083,1.0173653338757829e-06
132,51470,2.5941505314819456e-09
133,51857,1.5016454115195975e-09
134,52244,6.256945062554116e-11
135,52631,3.769349684824113e-05
136,53018,0.0003428992810336012
137,53405,0.00026018864135371244
138,53792,3.0489528911910574e-07
139,54179,8.542505160898167e-09
140,54566,2.4065175921497482e-11
141,54953,3.5474352401064716e-05
142,55340,1.1433542088120414e-06
143,55727,6.492447261404402e-09
144,56114,0.00011941704653003141
145,56501,1.514953107311899e-07
146,56888,0.00026595709933726046
147,57275,1.2189916361460819e-06
148,57662,6.158335281086852e-06
149,58049,3.0312774352563303e-05
150,58436,2.502774232476844e-10
151,58823,2.100856404809542e-06
152,59210,5.255644188584779e-09
153,59597,1.2550449930822205e-08
154,59984,2.1241607297483052e-05
155,60371,4.5212471585455054e-08
156,60758,5.7896838948115255e-09
157,61145,8.268124780868145e-09
158,61532,1.4439108249564234e-11
159,61919,6.001456001696303e-09
160,62306,1.749931352095144e-07
161,62693,1.92521436633672e-11
162,63080,5.284190123670499e-06
163,63467,4.291642512690419e-06
164,63854,1.0648472021871901e-06
165,64241,8.550656470717656e-07
166,64628,9.169677400736509e-08
167,65015,6.619557613165188e-05
168,65402,9.626072548881936e-12
169,65789,1.381319290933469e-09
170,66176,3.3454589764884448e-06
171,66563,0.00032584276772283286
172,66950,5.6639533506041686e-08
173,67337,8.544417207598006e-06
174,67724,2.7866711755167856e-07
175,68111,1.2575342096061956e-06
